model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,30,0.833333,0.7696693150522081,0.005114951427014819,2.2048122684313762,0.8392332366787446,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,31,0.861111,0.8528957222959719,0.007985634925765822,1.5799673740035531,0.9035972689253924,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,32,0.888889,0.8585836090692345,0.006797762873787498,1.6217357822644025,0.9062180513281403,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,33,0.916667,0.831111859615753,0.009998554747063865,1.6607470956919155,0.8899249958346243,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,34,0.944444,0.8215212696399913,0.007895376576227148,1.5750930237165899,0.8864628441883035,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,35,0.972222,0.816319206408961,0.008509747828069422,1.5793118160263648,0.8832320841778941,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,36,1.0,0.8142059136269673,0.009078399730154856,1.5812658094087033,0.8818266859078463,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k2,2,all,expected,0.1,0,0.0,0.03,0.0011111111111111113,23.414444444444445,0.10849663638414586,5,False,1800,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k2,2,all,expected,0.1,1,0.027778,0.020555555555555556,0.0097182531580755,23.981666666666666,0.09795073796455317,5,False,1800,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k2,2,all,expected,0.1,2,0.055556,0.023888888888888887,0.0037679611017362594,24.10333333333333,0.09881771118636855,5,False,1800,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
