theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,20,CVQ,semantic,last,0.21,,0.13,0.29,,100,,6,0.2234,"{""correct"": 21, ""garbage"": 6, ""intermediate_intrusion"": 73}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,20,FVQ,semantic,first,0.85,,0.78,0.9102,,100,,2,0.8673,"{""correct"": 85, ""garbage"": 2, ""intermediate_intrusion"": 13}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,30,CVQ,semantic,last,0.21,,0.14,0.29,,100,,2,0.2143,"{""correct"": 21, ""garbage"": 2, ""intermediate_intrusion"": 76, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,30,FVQ,semantic,first,0.85,,0.78,0.92,,100,,1,0.8586,"{""correct"": 85, ""garbage"": 1, ""intermediate_intrusion"": 14}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,50,CVQ,semantic,last,0.11,,0.06,0.17,,100,,10,0.1222,"{""correct"": 11, ""garbage"": 10, ""intermediate_intrusion"": 77, ""primacy_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,50,FVQ,semantic,first,0.77,,0.68,0.85,,100,,5,0.8105,"{""correct"": 77, ""garbage"": 5, ""intermediate_intrusion"": 18}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,75,CVQ,semantic,last,0.1,,0.04,0.16,,100,,12,0.1136,"{""correct"": 10, ""garbage"": 12, ""intermediate_intrusion"": 78}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,75,FVQ,semantic,first,0.68,,0.59,0.77,,100,,12,0.7727,"{""correct"": 68, ""garbage"": 12, ""intermediate_intrusion"": 20}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,100,CVQ,semantic,last,0.12,,0.06,0.19,,100,,13,0.1379,"{""correct"": 12, ""garbage"": 13, ""intermediate_intrusion"": 74, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,100,FVQ,semantic,first,0.72,,0.63,0.81,,100,,17,0.8675,"{""correct"": 72, ""garbage"": 17, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
