state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
lora,25,20,IVQ_d25,3,0.4875,0.524074074074074,0.63125,0.47999999999999987,0.5556,90,90,40,50
lora,25,20,IVQ_d25,4,0.4875,0.4814814814814815,0.665625,0.49800000000000005,0.5556,90,90,40,50
lora,25,20,IVQ_d25,5,0.5050000000000001,0.4697530864197531,0.634375,0.48200000000000004,0.5556,90,90,40,50
lora,25,20,IVQ_d25,6,0.4425,0.5407407407407409,0.646875,0.49800000000000005,0.5556,90,90,40,50
lora,25,20,IVQ_d25,7,0.42000000000000004,0.5432098765432098,0.653125,0.426,0.5556,90,90,40,50
lora,25,20,IVQ_d25,8,0.5275000000000001,0.5,0.653125,0.514,0.5556,90,90,40,50
lora,25,20,IVQ_d25,9,0.5349999999999999,0.5395061728395062,0.65625,0.47800000000000004,0.5556,90,90,40,50
lora,25,20,IVQ_d25,10,0.5549999999999999,0.4858024691358024,0.640625,0.522,0.5556,90,90,40,50
lora,25,20,IVQ_d25,11,0.5775,0.5061728395061728,0.628125,0.476,0.5556,90,90,40,50
lora,25,20,IVQ_d25,12,0.5549999999999999,0.5030864197530864,0.6375,0.48,0.5556,90,90,40,50
lora,25,20,IVQ_d25,13,0.5875,0.4654320987654321,0.65,0.48,0.5556,90,90,40,50
lora,25,20,IVQ_d25,14,0.6049999999999999,0.5166666666666667,0.675,0.496,0.5556,90,90,40,50
lora,25,20,IVQ_d25,15,0.6475000000000002,0.4876543209876544,0.640625,0.516,0.5556,90,90,40,50
lora,25,20,IVQ_d25,16,0.625,0.4851851851851851,0.615625,0.49000000000000005,0.5556,90,90,40,50
lora,25,20,IVQ_d25,17,0.6224999999999999,0.4864197530864197,0.628125,0.48599999999999993,0.5556,90,90,40,50
lora,25,20,IVQ_d25,18,0.5799999999999998,0.5320987654320988,0.646875,0.4960000000000001,0.5556,90,90,40,50
lora,25,20,IVQ_d25,19,0.615,0.5098765432098766,0.58125,0.446,0.5556,90,90,40,50
lora,25,20,IVQ_d25,20,0.645,0.5148148148148148,0.625,0.504,0.5556,90,90,40,50
lora,25,20,IVQ_d25,21,0.6799999999999999,0.5,0.621875,0.496,0.5556,90,90,40,50
lora,25,20,IVQ_d25,22,0.73,0.48703703703703705,0.63125,0.508,0.5556,90,90,40,50
lora,25,20,IVQ_d25,23,0.7050000000000001,0.469753086419753,0.684375,0.516,0.5556,90,90,40,50
lora,25,20,IVQ_d25,24,0.705,0.508641975308642,0.634375,0.542,0.5556,90,90,40,50
lora,25,20,IVQ_d25,25,0.6725,0.5444444444444445,0.6125,0.526,0.5556,90,90,40,50
lora,25,20,IVQ_d25,26,0.6849999999999999,0.5117283950617284,0.565625,0.586,0.5556,90,90,40,50
lora,25,20,IVQ_d25,27,0.7300000000000001,0.5006172839506172,0.54375,0.542,0.5556,90,90,40,50
lora,25,20,IVQ_d25,28,0.7074999999999999,0.5450617283950617,0.565625,0.62,0.5556,90,90,40,50
lora,25,20,IVQ_d25,29,0.705,0.5333333333333333,0.640625,0.496,0.5556,90,90,40,50
lora,25,20,IVQ_d25,30,0.675,0.5518518518518519,0.578125,0.49399999999999994,0.5556,90,90,40,50
lora,25,20,IVQ_d25,31,0.7,0.701851851851852,0.7,0.538,0.5556,90,90,40,50
lora,25,20,IVQ_d25,32,0.72,0.9030864197530863,0.796875,0.828,0.5556,90,90,40,50
lora,25,20,IVQ_d25,33,0.5599999999999999,0.9425925925925925,0.940625,0.9480000000000001,0.5556,90,90,40,50
lora,25,20,IVQ_d25,34,0.5850000000000001,0.9555555555555555,0.953125,0.974,0.5556,90,90,40,50
lora,25,20,IVQ_d25,35,0.615,0.9648148148148149,0.95625,0.9339999999999999,0.5556,90,90,40,50
lora,25,20,IVQ_d50,0,,0.4805555555555556,0.37222222222222223,,0.0,60,60,60,0
lora,25,20,IVQ_d50,1,,0.4666666666666667,0.42638888888888893,,0.0,60,60,60,0
lora,25,20,IVQ_d50,2,,0.4722222222222222,0.39166666666666666,,0.0,60,60,60,0
lora,25,20,IVQ_d50,3,,0.4805555555555556,0.37361111111111117,,0.0,60,60,60,0
lora,25,20,IVQ_d50,4,,0.5402777777777777,0.4069444444444444,,0.0,60,60,60,0
lora,25,20,IVQ_d50,5,,0.45833333333333337,0.39305555555555555,,0.0,60,60,60,0
lora,25,20,IVQ_d50,6,,0.49444444444444446,0.4083333333333333,,0.0,60,60,60,0
lora,25,20,IVQ_d50,7,,0.475,0.4222222222222222,,0.0,60,60,60,0
lora,25,20,IVQ_d50,8,,0.4916666666666667,0.41527777777777775,,0.0,60,60,60,0
lora,25,20,IVQ_d50,9,,0.4333333333333334,0.39305555555555555,,0.0,60,60,60,0
lora,25,20,IVQ_d50,10,,0.39999999999999997,0.43888888888888883,,0.0,60,60,60,0
lora,25,20,IVQ_d50,11,,0.45555555555555555,0.4055555555555556,,0.0,60,60,60,0
